Species,N_1_start,N_1_end,M_1_start,M_1_end,T_1_start,T_1_end,B_start,B_end,T_2_start,T_2_end,M_2_start,M_2_end,N_2_start,N_2_end
Golden-winged Warbler,1/1/16,3/7/16,3/8/16,4/23/16,4/24/16,5/31/16,6/1/16,7/31/16,8/1/16,8/14/16,8/15/16,10/14/16,10/15/16,12/31/16
Brewster's Warbler,1/1/16,3/7/16,3/8/16,4/23/16,4/24/16,5/31/16,6/1/16,7/31/16,8/1/16,8/14/16,8/15/16,10/14/16,10/15/16,12/31/16
Lawrence's Warbler,1/1/16,3/7/16,3/8/16,4/23/16,4/24/16,5/31/16,6/1/16,7/31/16,8/1/16,8/14/16,8/15/16,10/14/16,10/15/16,12/31/16
Blue-winged Warbler,1/1/16,3/23/16,3/24/16,5/14/16,5/15/16,5/31/16,6/1/16,7/23/16,7/24/16,8/14/16,8/15/16,10/14/16,10/15/16,12/31/16
Black and White Warbler,1/1/16,3/14/16,3/15/16,4/14/16,4/15/16,5/14/16,5/15/16,7/23/16,7/24/16,8/7/16,8/8/16,10/14/16,10/15/16,12/31/16
Prothonotary Warbler,1/1/16,2/14/16,2/15/16,5/14/16,5/15/16,5/23/16,5/24/16,7/23/16,7/24/16,8/31/16,9/1/16,10/31/16,11/1/16,12/31/16
Swainson's Warbler,1/1/16,4/7/16,4/8/16,4/30/16,5/1/16,5/14/16,5/15/16,8/7/16,11/15/16,11/23/16,9/1/16,11/14/16,11/24/16,12/31/16
Nashville Warbler,1/1/16,3/7/16,3/8/16,5/23/16,5/24/16,5/31/16,6/1/16,7/31/16,8/1/16,9/7/16,9/8/16,10/31/16,11/1/16,12/31/16
Mourning Warbler,1/1/16,3/14/16,3/15/16,5/31/16,6/1/16,6/14/16,6/15/16,8/14/16,8/15/16,9/7/16,9/8/16,11/14/16,11/15/16,12/31/16
Kentucky Warbler,1/1/16,4/14/16,4/15/16,5/7/16,5/8/16,5/23/16,5/24/16,7/14/16,7/15/16,8/23/16,8/24/16,10/14/16,10/15/16,12/31/16
Common Yellowthroat,1/1/16,4/14/16,4/15/16,4/30/16,5/1/16,5/31/16,6/1/16,8/7/16,8/8/16,8/23/16,8/24/16,10/31/16,11/1/16,12/31/16
Hooded Warbler,1/1/16,3/31/16,4/1/16,4/30/16,5/1/16,5/31/16,6/1/16,7/23/16,7/24/16,8/7/16,8/8/16,10/14/16,10/15/16,12/31/16
American Redstart,1/1/16,3/23/16,3/24/16,5/7/16,5/8/16,6/14/16,6/15/16,7/23/16,7/24/16,8/7/16,8/8/16,10/31/16,11/1/16,12/31/16
Cerulean Warbler,1/1/16,4/14/16,4/15/16,5/7/16,5/8/16,5/23/16,5/24/16,8/7/16,8/8/16,8/14/16,8/15/16,9/23/16,9/24/16,12/31/16
Northern Parula,1/1/16,3/7/16,3/8/16,5/7/16,5/8/16,5/31/16,6/1/16,7/31/16,8/1/16,8/14/16,8/15/16,10/31/16,11/1/16,12/31/16
Magnolia Warbler,1/1/16,4/23/16,4/24/16,5/23/16,5/24/16,6/14/16,6/15/16,8/14/16,8/15/16,9/7/16,9/8/16,10/23/16,10/24/16,12/31/16
Blackburnian Warbler,1/1/16,4/14/16,4/15/16,5/23/16,5/24/16,6/7/16,6/8/16,7/31/16,8/1/16,8/14/16,8/15/16,10/31/16,11/1/16,12/31/16
Yellow Warbler,1/1/16,3/31/16,4/1/16,4/30/16,5/1/16,5/31/16,6/1/16,7/14/16,7/15/16,7/31/16,8/1/16,10/7/16,10/8/16,12/31/16
Chestnut-sided Warbler,1/1/16,3/31/16,4/1/16,5/14/16,5/15/16,6/14/16,6/15/16,8/14/16,8/15/16,8/31/16,9/1/16,10/14/16,10/15/16,12/31/16
